# one finger down
10000,A
01000,E
00100,I
00010,O
00001,U
# two fingers together
11000,N
01100,T
00110,L
00011,S
# two fingers skipping one
10100,D
01010,M
00101,Z
# two fingers skipping two
10010,K
01001,B
# looks like y and w
10001,Y
10101,W
# one finger up
01111,H
10111,C
11011,V
11101,J
11110,R
# one finger chasing two
10110,G
01011,X
# two fingers chasing one
11010,F
01101,Q
# three fingers skipping two
11001,ENTER
10011,P
# three fingers together
11100,MAPSWITCH,DEFAULT
01110,BACKSPACE
00111,MAPSWITCH,SWITCHMAP
# all fingers together
11111," "
